date_iso,backadjusted
1979-09-20,289.0
1979-09-21,288.0
1979-09-24,289.75
1979-09-25,285.0
1979-09-26,283.75
1979-09-27,292.5
1979-09-28,291.0
1979-10-01,299.5
1979-10-02,298.0
1979-10-03,299.5
1979-10-04,303.5
1979-10-05,297.25
1979-10-08,296.0
1979-10-09,293.5
1979-10-10,295.5
1979-10-11,293.5
1979-10-12,295.0
1979-10-15,290.5
1979-10-16,290.75
1979-10-17,294.0
1979-10-18,294.0
1979-10-19,300.5
1979-10-22,302.0
1979-10-23,301.5
1979-10-24,296.5
1979-10-25,290.75
1979-10-26,281.25
1979-10-29,282.0
1979-10-30,284.25
1979-10-31,284.25
1979-11-01,280.25
1979-11-02,282.0
1979-11-05,283.5
1979-11-06,280.75
1979-11-07,282.0
1979-11-08,281.5
1979-11-09,281.5
1979-11-12,284.75
1979-11-13,289.0
1979-11-14,295.0
1979-11-15,293.5
1979-11-16,291.5
1979-11-19,294.25
1979-11-20,296.25
1979-11-21,299.0
1979-11-23,296.0
1979-11-26,291.25
1979-11-27,291.5
1979-11-28,292.5
1979-11-29,290.25
1979-11-30,293.75
1979-12-03,292.25
1979-12-04,292.75
1979-12-05,292.25
1979-12-06,289.5
1979-12-07,290.25
1979-12-10,291.0
1979-12-11,293.25
1979-12-12,292.0
1979-12-13,289.75
1979-12-14,289.75
1979-12-17,288.0
1979-12-18,287.5
1979-12-19,290.0
1979-12-20,292.5
1979-12-21,293.5
1979-12-26,299.25
1979-12-27,295.75
1979-12-28,297.75
1979-12-31,296.25
1980-01-02,294.0
1980-01-03,294.5
1980-01-04,294.75
1980-01-09,284.75
1980-01-10,279.75
1980-01-11,284.25
1980-01-14,283.5
1980-01-15,284.5
1980-01-16,284.25
1980-01-17,289.75
1980-01-18,287.25
1980-01-21,288.0
1980-01-22,287.0
1980-01-23,292.0
1980-01-24,289.25
1980-01-25,287.5
1980-01-28,288.25
1980-01-29,289.25
1980-01-30,291.25
1980-01-31,291.5
1980-02-01,292.25
1980-02-04,294.25
1980-02-05,293.0
1980-02-06,292.5
1980-02-07,291.75
1980-02-08,290.25
1980-02-11,292.0
1980-02-12,292.0
1980-02-13,293.75
1980-02-14,292.5
1980-02-15,292.25
1980-02-19,290.75
1980-02-20,291.5
1980-02-21,292.5
1980-02-22,292.0
1980-02-25,294.5
1980-02-26,292.75
1980-02-27,291.5
1980-02-28,288.25
1980-02-29,285.0
1980-03-03,281.0
1980-03-04,284.5
1980-03-05,286.5
1980-03-06,283.5
1980-03-07,285.0
1980-03-10,283.0
1980-03-11,283.25
1980-03-12,286.5
1980-03-13,284.0
1980-03-14,285.0
1980-03-17,283.0
1980-03-18,281.75
1980-03-19,283.5
1980-03-20,282.5
1980-03-21,281.75
1980-03-24,278.5
1980-03-25,278.25
1980-03-26,276.0
1980-03-27,271.75
1980-03-28,272.25
1980-03-31,269.25
1980-04-01,270.25
1980-04-02,271.5
1980-04-03,275.75
1980-04-07,275.5
1980-04-08,278.75
1980-04-09,279.25
1980-04-10,276.75
1980-04-11,278.0
1980-04-14,277.0
1980-04-15,277.5
1980-04-16,277.25
1980-04-17,274.5
1980-04-18,273.0
1980-04-21,275.25
1980-04-22,275.25
1980-04-23,273.75
1980-04-24,274.5
1980-04-25,277.0
1980-04-28,272.5
1980-04-29,272.5
1980-04-30,275.0
1980-05-01,274.5
1980-05-02,276.0
1980-05-05,281.75
1980-05-06,279.75
1980-05-07,278.0
1980-05-08,282.0
1980-05-09,280.0
1980-05-12,273.0
1980-05-13,276.25
1980-05-14,276.5
1980-05-15,278.5
1980-05-16,273.75
1980-05-19,275.25
1980-05-20,277.25
1980-05-21,276.5
1980-05-22,278.0
1980-05-23,278.0
1980-05-27,279.5
1980-05-28,275.75
1980-05-29,272.25
1980-05-30,273.75
1980-06-02,269.75
1980-06-03,271.75
1980-06-04,271.75
1980-06-05,270.25
1980-06-06,270.75
1980-06-09,271.5
1980-06-10,271.5
1980-06-11,271.0
1980-06-12,270.5
1980-06-13,272.5
1980-06-16,275.25
1980-06-17,274.25
1980-06-18,272.75
1980-06-19,272.0
1980-06-20,273.25
1980-06-23,275.5
1980-06-24,274.75
1980-06-25,276.75
1980-06-26,275.5
1980-06-27,274.5
1980-06-30,277.75
1980-07-01,282.0
1980-07-02,287.75
1980-07-03,290.5
1980-07-07,291.5
1980-07-08,294.5
1980-07-09,288.5
1980-07-10,294.5
1980-07-11,300.75
1980-07-14,310.75
1980-07-15,309.5
1980-07-16,313.25
1980-07-17,316.0
1980-07-18,312.5
1980-07-21,302.75
1980-07-22,306.75
1980-07-23,315.25
1980-07-24,312.5
1980-07-25,306.0
1980-07-28,310.25
1980-07-29,313.5
1980-07-30,311.75
1980-07-31,321.75
1980-08-01,326.0
1980-08-04,318.25
1980-08-05,322.25
1980-08-06,324.25
1980-08-07,324.25
1980-08-08,319.75
1980-08-11,314.75
1980-08-12,324.75
1980-08-13,322.0
1980-08-14,316.25
1980-08-15,312.75
1980-08-18,316.75
1980-08-19,319.0
1980-08-20,318.25
1980-08-21,322.75
1980-08-22,320.5
1980-08-25,326.0
1980-08-26,331.75
1980-08-27,329.25
1980-08-28,330.5
1980-08-29,337.0
1980-09-02,339.5
1980-09-03,338.25
1980-09-04,336.25
1980-09-05,337.5
1980-09-08,341.0
1980-09-09,336.75
1980-09-10,334.75
1980-09-11,336.25
1980-09-12,328.75
1980-09-15,328.0
1980-09-16,331.0
1980-09-17,331.0
1980-09-18,331.5
1980-09-19,336.75
1980-09-22,335.25
1980-09-23,336.0
1980-09-24,332.5
1980-09-25,330.5
1980-09-26,324.5
1980-09-29,325.0
1980-09-30,328.25
1980-10-01,328.0
1980-10-02,322.75
1980-10-03,325.5
1980-10-06,331.0
1980-10-07,329.25
1980-10-08,330.25
1980-10-09,332.0
1980-10-10,333.5
1980-10-13,343.5
1980-10-14,340.5
1980-10-15,340.0
1980-10-16,336.75
1980-10-17,339.25
1980-10-20,339.25
1980-10-21,341.0
1980-10-22,348.0
1980-10-23,347.0
1980-10-24,353.25
1980-10-27,349.75
1980-10-28,357.25
1980-10-29,355.75
1980-10-30,353.75
1980-10-31,353.0
1980-11-03,356.75
1980-11-05,362.0
1980-11-06,355.5
1980-11-07,403.25
1980-11-10,403.5
1980-11-11,404.5
1980-11-12,407.5
1980-11-13,405.25
1980-11-14,410.5
1980-11-17,412.75
1980-11-18,416.5
1980-11-19,419.25
1980-11-20,427.25
1980-11-21,429.0
1980-11-24,424.0
1980-11-25,428.5
1980-11-26,428.5
1980-11-28,433.75
1980-12-01,430.75
1980-12-02,425.25
1980-12-03,425.25
1980-12-04,421.75
1980-12-05,419.5
1980-12-08,419.0
1980-12-09,409.0
1980-12-10,400.5
1980-12-11,390.5
1980-12-12,393.0
1980-12-15,403.0
1980-12-16,401.75
1980-12-17,408.5
1980-12-18,404.5
1980-12-19,406.75
1980-12-22,409.5
1980-12-23,412.0
1980-12-24,409.25
1980-12-29,407.25
1980-12-30,407.0
1980-12-31,413.25
1981-01-02,416.5
1981-01-05,416.25
1981-01-06,418.75
1981-01-07,419.5
1981-01-08,418.25
1981-01-09,414.5
1981-01-12,415.75
1981-01-13,416.25
1981-01-14,419.25
1981-01-15,417.5
1981-01-16,424.0
1981-01-19,424.25
1981-01-20,426.0
1981-01-21,423.5
1981-01-22,419.25
1981-01-23,409.5
1981-01-26,413.25
1981-01-27,417.0
1981-01-28,414.75
1981-01-29,409.25
1981-01-30,412.25
1981-02-02,414.0
1981-02-03,420.25
1981-02-04,421.0
1981-02-05,423.25
1981-02-06,427.75
1981-02-09,421.0
1981-02-10,425.25
1981-02-11,426.5
1981-02-12,423.75
1981-02-13,428.25
1981-02-17,431.5
1981-02-18,428.0
1981-02-19,432.5
1981-02-20,430.5
1981-02-23,426.25
1981-02-24,422.5
1981-02-25,422.5
1981-02-26,420.5
1981-02-27,421.25
1981-03-02,411.25
1981-03-03,412.5
1981-03-04,406.75
1981-03-05,401.0
1981-03-06,402.75
1981-03-09,408.5
1981-03-10,406.75
1981-03-11,408.75
1981-03-12,414.0
1981-03-13,417.25
1981-03-16,417.75
1981-03-17,418.75
1981-03-18,420.5
1981-03-19,423.25
1981-03-20,418.0
1981-03-23,426.75
1981-03-24,427.75
1981-03-25,426.25
1981-03-26,421.25
1981-03-27,422.75
1981-03-30,426.75
1981-03-31,430.5
1981-04-01,426.75
1981-04-02,430.5
1981-04-03,428.0
1981-04-06,431.5
1981-04-07,441.5
1981-04-08,442.25
1981-04-09,443.5
1981-04-10,437.0
1981-04-13,434.75
1981-04-14,431.75
1981-04-15,431.5
1981-04-16,434.0
1981-04-20,434.25
1981-04-21,433.0
1981-04-22,429.75
1981-04-23,429.5
1981-04-24,426.5
1981-04-27,426.25
1981-04-28,419.5
1981-04-29,421.0
1981-04-30,423.0
1981-05-01,424.75
1981-05-04,419.75
1981-05-05,421.25
1981-05-06,424.25
1981-05-07,424.25
1981-05-08,423.75
1981-05-11,420.75
1981-05-12,413.0
1981-05-13,414.0
1981-05-14,416.5
1981-05-15,416.75
1981-05-18,420.5
1981-05-19,416.75
1981-05-20,417.0
1981-05-21,409.25
1981-05-22,405.5
1981-05-26,408.5
1981-05-27,409.5
1981-05-28,408.25
1981-05-29,410.5
1981-06-01,405.75
1981-06-02,403.25
1981-06-03,399.0
1981-06-04,398.75
1981-06-05,397.0
1981-06-08,399.25
1981-06-09,402.5
1981-06-10,407.75
1981-06-11,404.25
1981-06-12,408.25
1981-06-15,413.0
1981-06-16,411.0
1981-06-17,407.75
1981-06-18,407.5
1981-06-19,407.75
1981-06-22,406.25
1981-06-23,404.75
1981-06-24,403.0
1981-06-25,396.25
1981-06-26,392.5
1981-06-29,390.5
1981-06-30,392.25
1981-07-01,400.0
1981-07-02,401.5
1981-07-06,411.5
1981-07-07,409.75
1981-07-08,413.5
1981-07-09,411.0
1981-07-10,415.5
