time,open,high,low,close,Total Candles,Volume,Futures Open Interest
428630400,314.5,315,304.5,305.5,0,0,0
428716800,306,308.5,302,303,1,0,0
428803200,303,304,297,297.25,2,0,0
428889600,296.5,301,296,296.25,3,0,0
429148800,299.5,302.5,297,299.75,4,0,0
429235200,300,305,300,300,5,0,0
429321600,301,307.5,301,305.5,6,0,0
429408000,303.5,310,303.5,305.75,7,0,0
429494400,307.75,310.5,305,305.75,8,0,0
429753600,310,315,310,315,9,0,0
429840000,320,324,314,316.75,10,0,0
429926400,315.5,318,313,315,11,0,0
430012800,313,318,307,309.75,12,0,0
430099200,307,314.5,307,313.75,13,0,0
430358400,323.75,323.75,321.5,323.75,14,0,0
430444800,324.5,328,320,321,15,0,0
430531200,319,321.5,318.5,319.25,16,0,0
430617600,324,325.75,320,320.25,17,0,0
430704000,318.5,324.5,318.5,323,18,0,0
430963200,322,323.5,319,320.75,19,0,0
431049600,317.5,319,313,314.25,20,0,0
431136000,315,320,314.5,320,21,0,0
431222400,321.5,322,311,314.75,22,0,0
431308800,316,319,315,316.5,23,0,0
431654400,319.5,322.5,319,321.75,24,0,0
431740800,321,324.5,321,323.25,25,0,0
431827200,322.5,325,322,323.25,26,0,0
431913600,325,327.75,324,325.75,27,0,0
432172800,324.5,325.5,323.5,324.75,28,0,0
432259200,327,330,321,321.25,29,0,0
432345600,321.5,325,320,321.5,30,0,0
432432000,322.5,325,312,314,31,0,0
432518400,314.5,322,313,320.5,32,0,0
432777600,323,325.5,322,324.25,33,0,0
432864000,324,324,318.5,319.5,34,0,0
432950400,326,328,325.5,327.25,35,0,0
433036800,320,326,318,321.75,36,0,0
433123200,320.5,321.5,316,318,37,0,0
433382400,317,317.5,310,310.75,38,0,0
433468800,313,314,311,311.75,39,0,0
433555200,315,315,307.5,308.25,40,0,0
433641600,307,309,301,307.5,41,0,0
433728000,307.5,309.5,304.5,308,42,0,0
433987200,306.75,308,303.5,306,43,0,0
434073600,306.5,308.5,301.5,301.75,44,0,0
434160000,301,305,300,304.25,45,0,0
434246400,306,307.5,304.25,305.75,46,0,0
434332800,305,305.5,301.5,302.25,47,0,0
434592000,302,302,298.5,301.75,48,0,0
434678400,301.5,302.25,300.5,301,49,0,0
434764800,301,301,298,298.25,50,0,0
434851200,301,302.5,299.25,301.75,51,0,0
434937600,302,302,296,296.25,52,0,0
435196800,296.5,299,294,294.5,53,0,0
435283200,294.5,297.5,294,296,54,0,0
435369600,295,299.5,294,294.25,55,0,0
435456000,292.5,297,291,292.75,56,0,0
435542400,294.5,295.5,292,294,57,0,0
435801600,293.5,295,291.25,291.5,58,0,0
435888000,296,296.5,294.25,294.25,59,0,0
435974400,293.75,294,286.75,286.75,60,0,0
436060800,286.75,291,286,287.5,61,0,0
436147200,289,290,287,287,62,0,0
436410000,287,290.25,286.75,287.25,63,0,0
436496400,289,289.5,288,288.25,64,0,0
436582800,289.75,293.75,289.5,292.5,65,0,0
436669200,291.5,293.5,291,293,66,0,0
436755600,293,296,293,295.5,67,0,0
437014800,295.5,299.25,294.5,299.25,68,0,0
437101200,298,302.5,297.5,302.5,69,0,0
437187600,301.5,303.5,299.25,299.75,70,0,0
437274000,298.75,299.75,298.5,299.25,71,0,0
437360400,299.5,300.5,294.5,294.75,72,0,0
437619600,293.75,294.5,291.5,292.75,73,0,0
437706000,293.5,298,293.5,296.25,74,0,0
437792400,295,295.25,287.75,291.75,75,0,0
437878800,291.5,294,290,292.75,76,0,0
437965200,292.5,294,290,290.25,77,0,0
438224400,289.5,291.75,288,288,78,0,0
438310800,291,291,286,286.75,79,0,0
438397200,286.5,290.75,286.5,290.25,80,0,0
438570000,290.5,292,290.5,292,81,0,0
438829200,293.5,294.5,290.5,292.25,82,0,0
438915600,291.75,292.5,291,291.5,83,0,0
439002000,292.5,292.5,289.25,289.25,84,0,0
439088400,289.75,291,288.5,290.75,85,0,0
439174800,290,290.5,288.75,289.25,86,0,0
439434000,288,288.5,285.25,285.5,87,0,0
439520400,286,286.75,283,284,88,0,0
439606800,283.5,286.75,283.5,286,89,0,0
439693200,286.25,288,285.5,285.75,90,0,0
439779600,286.5,289,285.25,288.25,91,0,0
440038800,289,290.5,289,289.25,92,0,0
440125200,288.5,289.25,287.75,288.75,93,0,0
440211600,288.25,290.75,287.75,289.75,94,0,0
440298000,289.5,291,289,291,95,0,0
440384400,291,291,289,289.75,96,0,0
440643600,290.5,293.5,290,293.5,97,0,0
440730000,294,294,292,293.5,98,0,0
440816400,293.5,294.25,292,292.5,99,0,0
440902800,292.75,293.5,292.5,293,100,0,0
440989200,293.5,295.5,293,295.25,101,0,0
441334800,296.75,297,294.25,296,102,0,0
441421200,295,296.25,294,294.75,103,0,0
441507600,294.75,295.5,293.75,294.5,104,0,0
441594000,294.75,295.5,294,295,105,0,0
441939600,293.25,295,291.5,291.5,106,0,0
442026000,291,291.5,290.25,291.25,107,0,0
442112400,292.5,292.5,290.75,292,108,0,0
442198800,291.75,295,291,294.75,109,0,0
442458000,293.5,294.25,291,292,110,0,0
442544400,294,294.75,293,293.75,111,0,0
442630800,293.5,295,293.25,294.5,112,0,0
442717200,294.5,295.25,293.5,294.25,113,0,0
442803600,294.75,294.75,292,292.75,114,0,0
443062800,285,287.5,284.75,285.25,115,0,0
443149200,287.5,289.5,287,288.75,116,0,0
443235600,289.25,290.75,289,289,117,0,0
443322000,290,291,288.25,288.5,118,0,0
443408400,287.75,288.75,286.5,287.75,119,0,0
443667600,287.75,289,287.5,288.75,120,0,0
443754000,296,296.5,292,293.75,121,0,0
443840400,294,294.5,289,290.5,122,0,0
443926800,289,290,288.25,289.5,123,0,0
444013200,291.5,292,288.75,289,124,0,0
444272400,289,289.25,287,288.25,125,0,0
444358800,288.75,288.75,285,285.5,126,0,0
444445200,285.5,287,285,286.75,127,0,0
444531600,289.5,289.5,287.5,287.75,128,0,0
444618000,287,288,286.75,287.75,129,0,0
444877200,286.5,290,286,289.75,130,0,0
444963600,289,291,289,290.25,131,0,0
445050000,290.25,291,288,288.25,132,0,0
445136400,288.25,289.75,287.5,288,133,0,0
445222800,288,289,286.75,287.25,134,0,0
445482000,287,288,285.5,287.25,135,0,0
445568400,286.25,289,285.75,285.75,136,0,0
445654800,286.5,286.75,285,286,137,0,0
445741200,286.75,287,285,286,138,0,0
445827600,284.25,284.75,281.75,282,139,0,0
446173200,280.75,283,279.75,282.75,140,0,0
446259600,284.25,286,283.5,285,141,0,0
446346000,284,285,282,282.25,142,0,0
446432400,282.5,284.25,281.75,282.75,143,0,0
446691600,282,284,280.75,283.75,144,0,0
446778000,283.75,285.5,282,282.75,145,0,0
446864400,282.5,287,282.5,286.5,146,0,0
446950800,286,287.5,285.5,286.75,147,0,0
447037200,288.5,290.5,288,289.5,148,0,0
447296400,289.75,292,289.25,290.75,149,0,0
447382800,290.25,291.5,289.75,290.25,150,0,0
447469200,288.5,290.5,288.5,289.25,151,0,0
447555600,288.5,290.5,288.5,290.25,152,0,0
447642000,291,293,290.25,292.25,153,0,0
447901200,291,294.75,291,293.75,154,0,0
447987600,293.75,295,293.25,293.5,155,0,0
448074000,293.5,295,292,295,156,0,0
448160400,294,294.75,293,293.5,157,0,0
448246800,294,294,292.5,292.75,158,0,0
448506000,292,293.5,292,293.5,159,0,0
448592400,293.25,294.5,293,294.5,160,0,0
448678800,294.25,297,293.5,295.75,161,0,0
448765200,295,298,295,297.25,162,0,0
448851600,298,298.5,296.75,297.75,163,0,0
449110800,298.5,300,298.25,299.75,164,0,0
449197200,300,302.25,299.25,300,165,0,0
449283600,299,300.5,298.5,299,166,0,0
449370000,299.75,299.75,296.5,296.75,167,0,0
449456400,295.75,298.25,295.75,298.25,168,0,0
449715600,299,303,298.5,302.25,169,0,0
449802000,303,305.5,302.5,304.75,170,0,0
449888400,306,306.25,305,305.5,171,0,0
449974800,304.25,304.25,301.5,301.75,172,0,0
450061200,302.25,302.75,299.25,300.25,173,0,0
