time,open,high,low,close,Volume,Futures Open Interest
1134608400,259,259,259,259,0,0
1134694800,260,260,260,260,0,0
1134954000,260,260,260,260,0,0
1135040400,260,260,260,260,0,0
1135126800,260.5,260.5,260.5,260.5,9,0
1135213200,260,260.5,260,260.5,9,249
1135299600,260.5,260.5,260.5,260.5,0,264
1135645200,260.5,260.5,260.5,260.5,0,267
1135731600,261,261,261,261,0,301
1135818000,260,260,260,260,0,314
1135904400,260,260,260,260,0,322
1136250000,261.5,261.5,261.5,261.5,0,409
1136336400,260.25,260.25,260.25,260.25,0,459
1136422800,260.25,260.25,260.25,260.25,0,520
1136509200,260.25,260.25,260.25,260.25,4,536
1136768400,260,261,260,261,4,565
1136854800,261,261,261,261,0,589
1136941200,263,263,263,263,0,642
1137027600,262.75,262.75,262.75,262.75,0,681
1137114000,263.5,263.5,263.5,263.5,2,720
1137459600,264,264,262.5,262.5,1,760
1137546000,262,262.5,262,262.5,1,765
1137632400,262.5,263,262.5,263,1,797
1137718800,263.75,263.75,263.75,263.75,2,815
1137978000,263.5,264.5,263.5,264.5,2,871
1138064400,264.75,264.75,264.75,264.75,3,1019
1138150800,263,266.5,263,266.5,6,1914
1138237200,265,266.5,265,266.5,4,2054
1138323600,265,266,265,266,10,2589
1138582800,266,268.75,266,266,10,2619
1138669200,270,270,270,270,10,4436
1138755600,268,269,268,269,10,4893
1138842000,272,272,272,272,17,5967
1138928400,270,272.25,270,272.25,23,6362
1139187600,270,271,269,269,23,6464
1139274000,268.5,268.5,268.5,268.5,0,6645
1139360400,268.5,268.5,268.5,268.5,3,6603
1139446800,269,269.75,269,269.75,5,6660
1139533200,269,269,269,269,5,6778
1139792400,270,270,270,270,0,6798
1139878800,270,270,270,270,0,6803
1139965200,271,271,271,271,0,6806
1140051600,271.5,271.5,271.5,271.5,1,6765
1140138000,271,271.5,271,271.5,2,6824
1140483600,270,271,270,271,3,6884
1140570000,270.25,270.75,270.25,270.75,5,6938
1140656400,270.25,270.75,270.25,270.75,9,6955
1140742800,270.5,271.5,270.5,271.5,3,7038
1141002000,271,272,271,272,16,7088
1141088400,270.5,273,270.5,273,16,7226
1141174800,272,272,272,272,0,7312
1141261200,273.75,273.75,273.75,273.75,0,7433
1141347600,274,274,274,274,0,7565
1141606800,272.5,272.5,272.5,272.5,8,7594
1141693200,272,272,271.5,271.5,8,7580
1141779600,271.5,271.5,271.5,271.5,13,7658
1141866000,270.5,274,270.5,274,13,7715
1141952400,277,277,277,277,0,8234
1142211600,277,277,277,277,0,8481
1142298000,277.5,277.5,277.5,277.5,0,8552
1142384400,279.5,279.5,279.5,279.5,19,8794
1142470800,278,279,278,278.5,3,9041
1142557200,278,279,278,279,3,9343
1142816400,279,279,279,279,20,9491
1142902800,278,278.5,278,278.5,21,9535
1142989200,278,279,278,279,21,9708
1143075600,278.25,278.25,278.25,278.25,0,9759
1143162000,278.25,278.25,278.25,278.25,0,9787
1143421200,279.25,279.25,279.25,279.25,0,9945
1143507600,279.75,279.75,279.75,279.75,0,10144
1143594000,281,281,281,281,12,10678
1143680400,280,283.5,280,283.5,29,11264
1143766800,282,286.5,282,286.5,14,12154
1144022400,286,287.25,284.5,287.25,2074,12360
1144108800,286.25,286.5,286.25,286.5,4,12019
1144195200,285,287.25,285,287.25,30,12384
1144281600,287,289.75,287,289.75,257,12985
1144368000,285.25,290,285.25,289.75,1,13671
1144627200,289,289.75,289,289.75,25,13802
1144713600,288.5,291.75,288.5,291.75,27,14190
1144800000,290,290.5,290,290.5,2,14282
1144886400,290,290,290,290,22,14366
1145232000,289,291,289,291,50,14647
1145318400,290,292,290,292,4,14827
1145404800,291,292.5,291,292.5,4,15156
1145491200,291,291,291,291,1,15191
1145577600,290.5,293.25,290.5,293.25,84,15498
1145836800,291,294.75,291,294,8,15992
1145923200,293,296.25,292.5,296.25,24,16766
1146009600,295,296,295,295.5,21,17094
1146096000,295,296.25,294,296.25,6,17489
1146182400,296,299.75,296,299.75,13,18244
1146441600,297,301.75,297,301.75,41,19031
1146528000,300,300.5,299.25,300.5,40,19429
1146614400,300,301.5,300,301.5,105,19828
1146700800,300,301.5,299,301.5,14,20290
1146787200,300.25,305,300.25,305,14,20290
1147046400,302,305.25,300.25,305.25,48,20290
1147132800,304,310.25,304,310.25,107,20290
1147219200,308.75,313.75,308.75,313.75,77,20290
1147305600,312.75,318.75,312,318.75,205,25175
1147392000,315,328.5,315,328.5,358,26687
1147651200,326.5,330,324.75,324.75,18,27812
1147737600,323,324,320.5,320.5,122,28414
1147824000,319.5,324.75,319.5,324.75,57,29435
1147910400,323.25,324,322.5,323.5,47,29805
1147996800,322.5,323.5,318.25,318.25,27,30141
1148256000,317,318,314.5,317.75,47,30351
1148342400,317.5,318.5,317.25,318.5,7,30737
1148428800,316.5,318,313.75,313.75,9,30735
1148515200,313,320.75,313,320.75,11,30988
1148601600,320.5,323,320.5,322.75,9,31692
1148947200,318.5,327,318.5,325.5,8,31968
1149033600,324,325,324,324.25,3,32169
1149120000,321,324.25,321,324.25,9,32346
1149206400,323.5,326,321.25,326,9,32232
1149465600,321.25,321.25,321.25,321.25,1,32391
1149552000,318.75,318.75,315,315,4,32505
1149638400,315,317.25,315,317.25,2,32849
1149724800,316.5,316.5,316.5,316.5,5,33101
1149811200,316,316,315,315,29,33475
1150070400,315.75,325,315.75,321.75,8,34569
1150156800,321,321.5,315.25,315.25,15,34770
1150243200,315.75,315.75,310.5,310.5,15,35154
1150329600,311.25,311.25,311.25,311.25,22,35486
1150416000,311,314.75,311,313.5,75,35662
1150675200,313.5,313.5,310.5,310.5,75,35782
1150761600,314,314,314,314,1,36209
1150848000,314,316.5,314,316.5,1,36282
1150934400,317.75,317.75,317.75,317.75,0,36325
1151020800,321.25,321.25,321.25,321.25,3,37414
1151280000,318.75,318.75,317.75,317.75,74,37646
1151366400,310,320,310,320,74,38288
1151452800,322.75,322.75,322.75,322.75,10,38765
1151539200,320.25,325,320.25,325,60,39137
1151625600,320.75,326,320.75,324.75,41,39960
1151884800,325.5,329.25,325.5,329.25,283,41072
1152057600,329,330,327,327,4,43354
1152144000,327,329.5,327,329.5,27,44678
1152230400,329,329.25,326,326,135,45843
1152489600,326,330,326,330,150,47251
1152576000,330,334.5,329,330.75,64,48996
