time,open,high,low,close,Volume,Futures Open Interest
1639443600,477.5,477.5,477.5,477.5,0,0
1639530000,476.25,476.25,476.25,476.25,0,0
1639616400,478,478,478,478,0,0
1639702800,477.5,477.5,477.5,477.5,0,0
1639962000,475,475,475,475,0,0
1640048400,475,475,475,475,1,0
1640134800,475,475,473.5,473.5,1,1
1640221200,477,477,477,477,0,1
1640566800,477,479,477,479,1,2
1640653200,479.5,479.5,475,475,1,3
1640739600,478.75,478.75,478.75,478.75,0,3
1640826000,473.75,473.75,473.75,473.75,0,3
1640912400,474,474,474,474,0,3
1641171600,476,476,475.75,475.75,3,6
1641258000,475.75,475.75,475.75,475.75,0,6
1641344400,473.5,473.5,473.5,473.5,0,6
1641430800,474.5,474.5,474.5,474.5,0,6
1641517200,476,476,476,476,0,6
1641776400,476,476,475,475,4,6
1641862800,475,475,475,475,0,6
1641949200,475,476,475,475,7,13
1642035600,476,477,476,477,1,14
1642122000,482.5,482.5,478.75,478.75,10,24
1642381200,477,478,477,478,5,29
1642554000,482,485.75,482,485.75,1,30
1642640400,483,483,478.75,478.75,1,31
1642726800,479.25,479.25,479.25,479.25,0,31
1642986000,477.5,477.5,477.5,477.5,0,31
1643072400,479,479,477.25,477.25,1,32
1643158800,475,475,474.25,474.25,4,34
1643245200,474.25,474.25,474.25,474.25,0,34
1643331600,475,477.25,475,477.25,2,36
1643590800,477,477.25,477,477.25,1,37
1643677200,479.75,479.75,479.75,479.75,0,37
1643763600,483.5,485,481,481,17,52
1643850000,479.5,479.5,479.5,479.5,0,52
1643936400,478.25,478.5,478,478.5,3,52
1644195600,482.5,483.25,482.5,483.25,3,54
1644282000,484.5,484.5,483.25,483.25,2,56
1644368400,483.5,490,483,490,13,57
1644454800,487.5,487.5,487.5,487.5,7,64
1644541200,490,490,490,490,16,67
1644800400,493.5,493.5,493.5,493.5,3,70
1644886800,491,492.25,491,492.25,2,71
1644973200,493,493,493,493,5,76
1645059600,495.5,495.5,495.5,495.5,6,82
1645146000,496.25,496.25,494.75,494.75,1,83
1645405200,486.75,498,486.75,497,10,90
1645578000,498,499,495,499,39,126
1645664400,499,504.5,483.25,483.25,91,166
1645750800,481.75,481.75,473.5,476.5,35,181
1646010000,480,489.5,480,483.75,10,186
1646096400,485,485.75,485,485.75,3,189
1646182800,485,485,484.25,484.25,15,204
1646269200,486,486,483.75,483.75,3,205
1646355600,485,489.75,482,483,9,211
1646614800,483,485,482,485,4,214
1646701200,484.5,484.5,484.5,484.5,0,214
